name,wgt_avg,overall_score,style_score,abv,est_cal,beer_desc,ibu,mean
Good People El Gordo Imperial Stout,3.89,99,90,13.9%,417,DNE,65,4.13/5.0
Straight To Ale Laika Russian Imperial Stout - Bourbon Barrel Aged,3.75,98,72,11.7%,351,DNE,DNE,DNE
Straight To Ale Laika Russian Imperial Stout,3.75,97,71,11.7%,351,"
        Second offering from the ""Right to Brew"" series and was crafted by John Tipton. Draft only.",74,DNE
Avondale Barrel Aged Brett Saison,3.69,97,95,7.5%,225,"
        This brew is our regular Saison aged in french oak red wine barrels for 8 months with brettanomyces and lactobaccilus. The end result? A mixed flavor of tart/sour and fruit. 
      ",DNE,4.01/5.0
Straight To Ale Laika Russian Imperial Stout - Cabernet Barrel Aged,3.69,96,58,11.8%,354,"
        Straight To Ale Barrel Aged Laika Russian Imperial Stout which has been aged in Cabernet Wine Barrels for about 9 months.
      ",DNE,DNE
Good People Snake Handler,3.68,96,84,9.3%,279,"
        A big, joyous celebration of all things hoppy (5 different varities). Large flavors and aroma of pine, citrus, flowers, spice, pineapple, and grassiness complimented with a touch of biscuit and caramel backbone. Our most requested beer.
      ",103,DNE
Straight To Ale Gorillanaut Imperial IPA,3.66,96,82,9%,270,"
        The bigger, badder brother to our flagship Monkeynaut IPA, this beer definitely shoots for the moon. A supernova of citrusy hop aroma and flavor up front and a sweet malty backbone make this an aggressive yet well-balanced beer. It finishes with a smooth, lingering hop bitterness. If you’ve ever wondered what an 800-lb. gorilla in a spacesuit drinks, well, the answer is Tang, of course ... but when he’s back on Earth and in the mood for a big beer, he reaches for this. 
      ",275,3.76/5.0
Straight To Ale Velvet Evil,3.65,95,91,13%,390,"
        A variant of the same old ale used as the base beer for Unobtanium and Illudium, it has been spiked with subtle hints of coffee and raspberry and a full-on dose of rich chocolate. It is deceptively smooth, sweet and delicious.
      ",DNE,3.76/5.0
Good People Fatso Imperial Stout,3.61,95,47,8.5%,255,"
        First debuted at the 2009 Magic City Brewfest as the first Imperial Stout legally brewed in Alabama. This bottle conditioned version was brewed especially for the County Line Series.  A huge, viscous, full-bodied, dark as night, imperial stout yet somehow amazingly drinkable. Big aromas and flavors, including cherries and raspberries, roasted malts, dark chocolate, and spiced rum.  It’s recommeded to serve in the low to mid 50s as the flavors really explode when allowed to come up in temperature.  ABV 8.5%, 72 bottles.
      ",DNE,3.69/5.0
Straight To Ale Monkey’s Uncle IIPA,3.62,94,73,7.75%,232,"
        This Imperial IPA is packed with hoppy goodness from huge additions of Columbus, Chinook, Centennial, and Simcoe hops during the brewing and conditioning processes. The hops are balanced with generous amounts of American two row and Crystal malts. If you like hops, this one is for you!
      ",DNE,3.74/5.0
Straight To Ale Unobtanium,3.64,95,90,11.5%,345,"
        Unobtanium is a barrel-aged English-style Old Ale that ages for six months in a bourbon barrel, soaking up all sorts of amazing whiskey character as well as hints of oak and vanilla. The name was taken from an old aerospace/engineering term for a specific material or object (often imaginary, impossible or highly improbable to obtain) needed to complete any given project. And, before you ask, we did not take the name from the elusive metal in Avatar. James Cameron reportedly named the substance as an inside joke to his fellow techie/gear-heads. Our version is much tastier, though.
      ",68,DNE
Beer Engineers Peanut Butter Porter,3.53,93,49,12%,360,DNE,DNE,3.77/5.0
Good People Coffee Oatmeal Stout,3.57,92,88,6%,180,"
        Big coffee flavors dominate early only to be wiped out by an enormous about of Willamette hop flavors. One of GPBC’s most requested beers. Complex and full of flavor yet amazingly sessionable. Brewed with coffee from Primavera Coffee Roasters here in Birmingham, AL.
      ",54,DNE
Straight To Ale Illudium,3.55,91,84,11.5%,345,"
        

Like Unobtanium, Illudium is an English-style Old Ale, but instead of being aged in whiskey barrels, we use cognac barrels. This imparts a wonderful, alcohol warmth and a slight spiciness.
      ",22,3.63/5.0
Blue Pants Weedy’s Double IPA,3.55,91,56,8.7%,261,"
        Hoppy brilliance. This beer is a beautiful batch of hop craziness for our hop head friends. Sound the trumpet for the alluring floral tastes and smells of this wonderful double. 
      ",175,3.67/5.0
Straight To Ale Monkeynaut IPA,3.54,91,86,7.25%,218,"
        Albert. Able. Gordo. Miss Baker. Bonny. Goliath. Between 1948 and 1961 these primate pioneers and others bravely went where no man had ever gone before, paving the way for manned U.S. spaceflight. This hoppy little monkey of a beer is a tribute to those Simian heroes of yesteryear. It has a citrusy, floral hop aroma, a strong malt body and a crisp finish. 
      ",70,DNE
Fairhope Painted Black IPA,3.51,90,65,7%,210,"
        The Painted Black IPA is one of the first examples of this new style to emerge from the South. It combines the dark-as-night color of a stout with a prominent ""Northwest"" hop aroma — citrusy, piney, and resinous. The body has some sweet malt flavors, with just a hint of roastiness and toasted malt. 
      ",72,3.68/5.0
Avondale Vanillaphant Porter,3.53,90,91,6.3%,189,"
        Available year-round.",DNE,DNE
Blue Pants Pinstripe Candy Bar Stout,3.52,89,66,8%,240,"
        Pinstripe Export Stout with peanut butter and caramel flavoring added. 
      ",DNE,3.7/5.0
Good People Hitchhiker American IPA,3.5,88,80,7.4%,222,"
        A far cry from our original IPA, The Hitchhiker is a big floral/citrus American IPA. Aromas and flavors of pineapple, grapefruit, orange, and tangerines take center stage with a tad bit of caramel malt backbone to balance just a bit. A very dry finish with hops flavors lingering...this one is for the hopheads.
      ",81,3.62/5.0
Straight To Ale Vern’s Wheat Wine,3.46,87,48,11%,330,"
        Righ to Brew Series",DNE,3.55/5.0
Back Forty Trade Day Cuban Coffee Stout,3.48,86,30,6.2%,186,"
        Cuban Coffee Stout. Trade Day refers to the old Southern tradition of gathering at the crossroads to buy and sell goods of all kinds. These culturally diverse events still exist all over Alabama, and after half a century, it’s finally time to welcome our Cuban neighbors back to the crossroads. Y’all bring the coffee, we’ll bring the beer.",44,3.53/5.0
Salty Nut Dahkness Stout,3.45,85,82,6.4%,192,DNE,DNE,3.64/5.0
Straight To Ale He Ain’t Heffe,3.46,85,98,5%,150,"
        

He Ain’t Heffe is our take on the traditional German hefeweizen. An unfiltered wheat beer, it has a big nose full of banana and clove, a light and fruity flavor and a very small hop profile. Sweet and refreshing … a great lawnmower beer!
      ",10,3.55/5.0
Fairhope (Take The) Causeway IPA,3.45,85,70,8.2%,246,"
        Previously 6.5% abv and 75 IBUs
      ",69,3.53/5.0
Midnight Sun 2007 Deadly Sins: Sloth,4.11,100,98,10.2%,306,"
        Sloth is the avoidance of physical or spiritual work.

SLOTH Belgian-style Imperial Stout is deliberately dark as hell. The pour is slow and sluggish. Its head is menacing, becoming torn and tattered Belgian lace on the sides of the glass as you cautiously consume this brew—sip by insidious sip.

The aroma is sweet from heavy malt and big alcohol with notes of vanilla, coconut and whiskey from the oak. The depth & breadth of roasted malt flavors loiters on the palate while the robust finish lingers, well, forever.

SLOTH...Just add couch.
      ",20,DNE
Midnight Sun Berserker,4.08,100,98,12.7%,381,"
        Vicious and viscous, this menacing brew pours opaque black with a creamy maduro-colored head. Its aroma offers seductive whiskey, chewy red wine, dark fruit and lavish tobacco. Berserker Imperial Stout invades your taste buds with in-your-face flavor. Weighing in at almost 13% alcohol by volume, Berserker is completely out-of-control. Give it a good fight.
",30,DNE
Midnight Sun 2010 Pop Ten: Barfly,4.04,100,97,12.6%,378,"
        Smoked Imperial Stout. Part of the 2010 Pop Ten Series. December 2010.",45,DNE
Anchorage A Deal With The Devil Barleywine,4.04,100,99,17.3%,519,"
        1 hop, 1 malt, aged in giant freshly emptied Cognac Barrels.
      ",60,DNE
DNE,4.03,100,96,14.6%,438,"
        Imperial stout aged in Laphroaig barrels. 14.6% ABV, 60 IBUs, Original Gravity 36 degrees plato.
      ",60,4.4/5.0
Midnight Sun Arctic Devil,4.01,100,99,13.2%,396,"
        Arctic Devil Barley Wine, aptly named after the ferocious wolverine of the north, is an English-style (meaning malt-inclined) barley wine. Though the recipe and process for Arctic Devil have evolved over the years, it is brewed once a year then aged in oak barrels for several months before the entire batch is blended, bottled and released. Beginning in 2010, ADBW will be released in late SEP.
",20,DNE
