review_count,style_score,brewer,wgt_avg,beer_img,state,beer_rank,overall_score,beer_style,beer_name,abv,est_cal,mean,ibu,beer_desc
22,99,Westbrook Brewing,4.17,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_375429.jpg",SOUTH CAROLINA,1,100,Imperial Stout,Westbrook Mexican Cake Imperial Stout - Pappy Barrel,,,4.39/5.0,324,
50,99,Westbrook Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_220144.jpg",SOUTH CAROLINA,3,100,Imperial Stout,Westbrook Mexican Cake Imperial Stout - Red Wine Barrel,10.5%,315,/,,Westbrook Mexican Cake aged in Red Wine (Cabernet) barrels.
46,99,Westbrook Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_388332.jpg",SOUTH CAROLINA,2,100,Imperial Stout,Westbrook Mexican Cake Imperial Stout - Bourbon Coconut ,,,/,315,
54,98,Westbrook Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_288925.jpg",SOUTH CAROLINA,5,100,Imperial Stout,Westbrook Mexican Cake Imperial Stout - Bourbon Barrel (2014),,,/,315,Red label: Four Roses bourbon barrel aged for 12 months
579,97,Westbrook Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_165181.jpg",SOUTH CAROLINA,4,100,Imperial Stout,Westbrook Mexican Cake Imperial Stout,10.5%,315,/,,"Happy birthday to us! To celebrate our first year as a brewery we brewed a serious imperial stout and aged it on cocoa nibs, vanilla beans, cinnamon sticks, and fresh habanero peppers. This is the first offering in our annual Anniversary series. Here’s to many more!"
59,92,Westbrook Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_415993.jpg",SOUTH CAROLINA,25,98,Sour/Wild Ale,Westbrook Leopold,4.3%,129,/,,Sour blonde ale aged in sauretnes casks then fermented on apricots and peaches for 4 weeks.
6,,"Dempseys Brewery, Pub & Restaurant",2.81,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_87907.jpg",SOUTH DAKOTA,25,,Imperial Pils/Strong Pale Lager,Dempseys Longship Lager,,,2.75/5.0,228,A Strong Viking Lager.
20,36,Blackstone Restaurant & Brewery,3.51,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_263208.jpg",TENNESSEE,25,89,Imperial Stout,Blackstone Black Belle,9.5%,285,3.62/5.0,,"Black Belle™ is a limited special release Imperial Stout; it’s collaboration between Blackstone Brewing Company® and Nelson’s Green Brier™ Distillery, makers of Belle Meade Bourbon™. Infused with cacao nibs and aged for more than seven months in bourbon barrels, the beer is smooth and sweet, with definite notes of bourbon, oak, and dark chocolate."
11,81,Brash Brewing Company,3.8,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_367843.jpg",TEXAS,25,98,Imperial Stout,Brash Vulgar Display of Power,14%,420,4.1/5.0,,"Toasted oat malt, vanilla bean, brown sugar, and 14%abv."
30,97,Uinta Brewing Company,3.66,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_388866.jpg",UTAH,25,96,Stout,Uinta Crooked Line Stompin’ Grounds Coffee Stout,,,3.76/5.0,243,
52,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_353086.jpg",VERMONT,25,100,Saison,Hill Farmstead Works of Love (Sante Adairius - 2013),,,/,,Collaborative saison brewed in 2013 at Festival of Farmhouse ales.
10,93,Reaver Beach Brewing Company,3.77,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_208604.jpg",VIRGINIA,25,98,Imperial IPA,Reaver Beach The Kracken,,100,4.08/5.0,,A Monstrously Hopped Triple India Pale Ale
145,100,Elysian Brewing (AB InBev),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_232495.jpg",WASHINGTON,25,98,Spice/Herb/Vegetable,Elysian Punkuccino Coffee Pumpkin Ale,5%,150,/,,"A pumpkin ale with the attitude of a world-weary barista, Punkuccino packs a short shot of Stumptown coffee toddy in your pint with a shake of cinnamon and nutmeg."
10,55,DC Brau Brewing Company,3.53,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_188591.jpg",WASHINGTON DC,25,94,Imperial IPA,DC Brau For Others,8.2%,246,4.01/5.0,,"DC Brau Brewing Company is happy to announce the release of ""For Others,"" a limited-release Double IPA brewed to celebrate the nuptials of two of its own: DC Brau webmaster and packaging designer Rob Shortley and his long-time partner in crime, Celia Wells.

""For Others"" was brewed according to one of Shortley’s homebrew recipes that DC Brau head brewer and president Jeff Hancock reworked for a commercial batch size. ""We wanted to do something special for Rob,"" said DC Brau CEO Brandon Skall. ""He’s been helping out the brewery for a really long time. He’s a part of the Brau family. That said, we definitely made him work for it."" On the day of brewing, Shortley showed up bright and early and started hauling sacks of grain. Afterward, Skall had him clean out the 1,200 pounds of spent grain that went into the brew.

The name “For Others” is a nod to Shortley’s alma mater, Gonzaga College High School, the motto of which is ""Men for Others.” The private academy has been a Washington, DC fixture since 1821.

Though the beer was brewed specifically for the Shortley wedding, DC Brau will be also be distributing “For Others” city-wide, as well as to Virginia, starting October 14th. ""I think we put a new spin on an old adage,"" said Skall. ""Something old, something new, something borrowed, and something brewed.""

""For Others"" is an intense, all-Citra hopped, double IPA - weighing in at around 8.2% ABV. Available from the brewery in growlers-only or on-draft from bars and restaurants."
14,87,Bridge Brew Works,3.19,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_275353.jpg",WEST VIRGINIA,25,50,English Pale Ale,Bridge Brew Works The Blunt,,,3.26/5.0,,English Ale aged on Spanish Cedar
421,94,Tyranena Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_84008.jpg",WISCONSIN,25,99,Imperial Porter,Tyranena BGW Dirty Old Man ,7.9%,237,/,,"Imperial Rye Porter aged in Rye Whiskey Barrels. Statement of Composition: 40% Malt Beverage aged in Rye Whiskey Barrels. 60% Malt Beverage.  Dirty Old Man: ""Gimme a sponge bath."""
11,74,Library Sports Grille & Brewery,3.26,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_116623.jpg",WYOMING,25,67,Specialty Grain,Library Rattlesnake Rye Pale Ale,,,3.37/5.0,,"By using an exact amount of rye, a grain seldom found in micro-brewed beers, the RyePA acquires its signature taste. Made with four varieties of US Pacific Northwest hops and a generous amount of specialty malts, this beer offers a complex malt/hop flavor that is both aggressive and well balanced."
27,39,Altitude Chophouse and  Brewery,3.31,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_23046.jpg",WYOMING,24,68,Foreign Stout,Altitude 7200 Stout,,,3.37/5.0,210,"Rich and creamy, 7200’ Stout is an extra dark ale with flavors of chocolate and coffee. We use a nitrogen gas mix for a smoother pour."
